id,latitude,longitude,name
100,14.5437648051331,121.019911678311,T1
101,14.5532076554883,121.055774532421,T2
102,14.5446435656183,121.020365629871,T3
103,14.5872615919051,120.979504794655,T4
104,14.5732032723718,121.023090376156,T5
105,14.5231131289849,121.019457319516,T6
106,14.6024229153284,121.011513378939,T7
107,14.6085746293116,121.018551395794,T8
108,14.4911143426092,121.043748206197,T9
109,14.5445595272478,121.106088282234,T10
110,14.5879814117365,121.058208029763,T11
111,14.5488649285797,121.03363929755,T12
112,14.5371505894201,120.990430237915,T13
113,14.5257966600328,121.020868844103,T14
114,14.5170998780454,120.981002106201,T15
115,14.502006871058,120.991618127534,T16
116,14.521124409049,121.042771368704,T17
117,14.4772076562187,120.986792724064,T18
